"Negative","Positive","Pleasure","Pain"
"fat","happiness",NA,NA
"fatal","happy",NA,NA
"fatalistic","happy",NA,NA
"fatigue","happy",NA,NA
"fault","happy",NA,NA
"fear","hardy",NA,NA
"fear","harmless",NA,NA
"fear","harmonious",NA,NA
"fearful","harmonize",NA,NA
"fearsome","harmony",NA,NA
"fed","harness",NA,NA
"feeble","haven",NA,NA
"feign","heal",NA,NA
"feint","health",NA,NA
"ferocious","healthful",NA,NA
"ferocity","healthy",NA,NA
"feud","healthy",NA,NA
"feudal","healthy",NA,NA
"fever","heart",NA,NA
"feverish","heartily",NA,NA
"fiasco","heaven",NA,NA
"fickle","heavenly",NA,NA
"fidget","help",NA,NA
"fiend","help",NA,NA
"fierce","help",NA,NA
"fight","helpful",NA,NA
"fight","hero",NA,NA
"fight","heroic",NA,NA
"fighter","heroine",NA,NA
"filth","heroism",NA,NA
"filthy","highlight",NA,NA
"fine","hilarious",NA,NA
"fine","hit",NA,NA
"fire","holy",NA,NA
"fire","homage",NA,NA
"fire","home",NA,NA
"fist","honest",NA,NA
"fix","honest",NA,NA
"flagrant","honest",NA,NA
"flaw","honeymoon",NA,NA
"fled","honor",NA,NA
"flee","honor",NA,NA
"fleeting","honor",NA,NA
"flimsy","honorable",NA,NA
"floor","hope",NA,NA
"flounder","hope",NA,NA
"foe","hopeful",NA,NA
"foible","hospitable",NA,NA
"fool","hug",NA,NA
"fool","human",NA,NA
"foolish","humanitarian",NA,NA
"foolishness","humanity",NA,NA
"forbid","humble",NA,NA
"forbidden","humility",NA,NA
"force","humor",NA,NA
"force","humorous",NA,NA
"force","hygiene",NA,NA
"foreboding","ideal",NA,NA
"foreign","ideal",NA,NA
"forfeit","ideal",NA,NA
"forgetfulness","idealism",NA,NA
"forlorn","idol",NA,NA
"formidable","idolize",NA,NA
"forsake","illuminate",NA,NA
"fought","illustrious",NA,NA
"founder","imagination",NA,NA
"fracture","imaginative",NA,NA
"fragile","immaculate",NA,NA
"frantic","immortal",NA,NA
"frantically","impartial",NA,NA
"fraud","impartiality",NA,NA
"fraudulent","imperative",NA,NA
"fraught","impervious",NA,NA
"freak","impetus",NA,NA
"fret","importance",NA,NA
"fretful","important",NA,NA
"frighten","impress",NA,NA
"frighten","impressive",NA,NA
"frighten","improve",NA,NA
"frightful","improve",NA,NA
"frigid","improve",NA,NA
"frivolous","improvement",NA,NA
"front","impunity",NA,NA
"frown","inaugurate",NA,NA
"frown","inauguration",NA,NA
"fruitless","independence",NA,NA
"frustrate","independent",NA,NA
"frustrate","independent",NA,NA
"frustrate","indescribable",NA,NA
"frustration","indicative",NA,NA
"fugitive","indispensability",NA,NA
"fumble","indispensable",NA,NA
"fun","individuality",NA,NA
"furious","indomitable",NA,NA
"fury","indulgence",NA,NA
"fuss","industrious",NA,NA
"fussy","inexpensive",NA,NA
"futility","infallibility",NA,NA
"gall","infallible",NA,NA
"gamble","infer",NA,NA
"gamble","inference",NA,NA
"gash","inform",NA,NA
"gaudy","inform",NA,NA
"germ","ingenious",NA,NA
"get","ingenuity",NA,NA
"ghastly","inherit",NA,NA
"ghetto","innocence",NA,NA
"glare","innocent",NA,NA
"gloat","innovate",NA,NA
"gloom","innovative",NA,NA
"gloomy","inquisitive",NA,NA
"glum","inseparable",NA,NA
"goddamn","insight",NA,NA
"grab","insistent",NA,NA
"grapple","inspiration",NA,NA
"gratuitous","inspirational",NA,NA
"grave","inspire",NA,NA
"grave","inspire",NA,NA
"grave","instinctive",NA,NA
"grave","integrity",NA,NA
"grave","intellect",NA,NA
"grief","intellectual",NA,NA
"grievance","intellectual",NA,NA
"grieve","intellectual",NA,NA
"grim","intelligence",NA,NA
"grizzly","intelligent",NA,NA
"grotesque","intelligible",NA,NA
"growl","intercede",NA,NA
"grudge","intercourse",NA,NA
"gruff","interest",NA,NA
"grumble","interest",NA,NA
"guerrilla","interest",NA,NA
"guilt","interested",NA,NA
"guilty","interested",NA,NA
"guise","interpose",NA,NA
"gullible","intimacy",NA,NA
"gun","intimate",NA,NA
"gunmen","intricate",NA,NA
"hack","intrigue",NA,NA
"hackney","invaluable",NA,NA
"hag","inventor",NA,NA
"haggard","invincible",NA,NA
"hamper","invitation",NA,NA
"hand","invite",NA,NA
"handicap","invite",NA,NA
"hang","invulnerable",NA,NA
"hang","irresistible",NA,NA
"haphazard","jest",NA,NA
"hapless","join",NA,NA
"harass","jointly",NA,NA
"harassment","joke",NA,NA
"hard","joke",NA,NA
"hard","joke",NA,NA
"hardship","jolly",NA,NA
"harm","joy",NA,NA
"harm","joyful",NA,NA
"harmful","jubilant",NA,NA
"harsh","jubilee",NA,NA
"hassle","just",NA,NA
"hate","just",NA,NA
"hate","justice",NA,NA
"hate","justifiably",NA,NA
"hater","justification",NA,NA
"hatred","justify",NA,NA
"haughty","keen",NA,NA
"haunt","kid",NA,NA
"havoc","kind",NA,NA
"hazard","kind",NA,NA
"hazard","kindness",NA,NA
"hazardous","kiss",NA,NA
"haziness","kiss",NA,NA
"hazy","know",NA,NA
"headache","know",NA,NA
"heartless","knowledge",NA,NA
"hectic","laudable",NA,NA
"hedge","laugh",NA,NA
"hedonistic","laugh",NA,NA
"heedless","laugh",NA,NA
"heinous","laugh",NA,NA
"hell","laughter",NA,NA
"help","lavish",NA,NA
"helpless","law",NA,NA
"helplessness","lawful",NA,NA
"hideous","lead",NA,NA
"hinder","learn",NA,NA
"hindrance","learn",NA,NA
"hit","learner",NA,NA
"hit","legal",NA,NA
"hoard","legitimacy",NA,NA
"hobble","legitimate",NA,NA
"hole","leisure",NA,NA
"hole","liberal",NA,NA
"hollow","liberal",NA,NA
"homely","liberalism",NA,NA
"hopeless","liberate",NA,NA
"horde","liberty",NA,NA
"horn","lifelong",NA,NA
"horrible","light",NA,NA
"horrid","light",NA,NA
"horrify","likable",NA,NA
"horror","like",NA,NA
"hostile","like",NA,NA
"hostility","live",NA,NA
"hot","lively",NA,NA
"humiliate","logic",NA,NA
"humiliation","logical",NA,NA
"hung","longevity",NA,NA
"hunger","love",NA,NA
"hungry","love",NA,NA
"hunt","love",NA,NA
"hunt","love",NA,NA
"hunt","loveliness",NA,NA
"hunter","lovely",NA,NA
"hurt","lover",NA,NA
"hurt","lover",NA,NA
"hurtful","loyal",NA,NA
"hustle","loyalty",NA,NA
"hustler","lucid",NA,NA
"hypocrisy","luck",NA,NA
"hypocrite","luckily",NA,NA
"hysteria","lucky",NA,NA
"hysterical","lucrative",NA,NA
"idiot","luminous",NA,NA
"idiotic","lust",NA,NA
"idleness","luster",NA,NA
"ignoble","lustrous",NA,NA
"ignorance","luxuriant",NA,NA
"ignorant","luxurious",NA,NA
"ill","luxury",NA,NA
"ill","lyric",NA,NA
"ill","lyrical",NA,NA
"ill","magical",NA,NA
"illegal","magnetic",NA,NA
"illegality","magnificence",NA,NA
"illiterate","magnificent",NA,NA
"illness","main",NA,NA
"illogical","majestic",NA,NA
"immature","majesty",NA,NA
"immobility","major",NA,NA
"immoral","make",NA,NA
"immorality","make",NA,NA
"immovable","manageable",NA,NA
"impair","manly",NA,NA
"impasse","marital",NA,NA
"impatience","marriage",NA,NA
"impatient","marry",NA,NA
"impede","marry",NA,NA
"impediment","marvel",NA,NA
"imperfect","marvelous",NA,NA
"impersonal","masterful",NA,NA
"impetuous","mastery",NA,NA
"implicate","matchless",NA,NA
"implore","mate",NA,NA
"impose","mate",NA,NA
"imprecision","matter",NA,NA
"imprison","mature",NA,NA
"imprisonment","mature",NA,NA
"improper","mature",NA,NA
"impulsive","maturity",NA,NA
"impure","maximize",NA,NA
"impurity","meaningful",NA,NA
"inability","measurable",NA,NA
"inaccessible","mediate",NA,NA
"inaccuracy","meditation",NA,NA
"inadequate","meet",NA,NA
"inane","mellow",NA,NA
"incapable","melody",NA,NA
"incessant","memorable",NA,NA
"incompatibility","mend",NA,NA
"incompatible","mentor",NA,NA
"incompetence","merciful",NA,NA
"incompetent","mercy",NA,NA
"inconsistency","merit",NA,NA
"inconvenient","merit",NA,NA
"incorrect","meritorious",NA,NA
"incredible","merrily",NA,NA
"incurable","merriment",NA,NA
"indecent","merry",NA,NA
"indefinite","mesh",NA,NA
"indeterminable","meticulous",NA,NA
"indeterminate","mighty",NA,NA
"indictment","mild",NA,NA
"indifference","mind#_10",NA,NA
"indifferent","mindful",NA,NA
"indignation","minister",NA,NA
"indulge","mint",NA,NA
"ineffective","miracle",NA,NA
"ineffectiveness","miraculous",NA,NA
"ineffectual","mirth",NA,NA
"ineffectualness","mobility",NA,NA
"inefficiency","mobilize",NA,NA
"inequality","moderate",NA,NA
"inexact","moderation",NA,NA
"inexplicable","modernity",NA,NA
"infamous","modest",NA,NA
"infect","modesty",NA,NA
"infection","momentous",NA,NA
"inferior","monumental",NA,NA
"inferiority","moral",NA,NA
"infest","morale",NA,NA
"infiltration","moralistic",NA,NA
"inflame","morality",NA,NA
"inflation","motivate",NA,NA
"inflict","motivated",NA,NA
"infraction","motivation",NA,NA
"infringement","motive",NA,NA
"infuriate","multitude",NA,NA
"ingratitude","mutual",NA,NA
"inhibit","mutual",NA,NA
"inhibition","myriad",NA,NA
"inhumane","natural",NA,NA
"injunction","natural",NA,NA
"injure","navigable",NA,NA
"injurious","neat",NA,NA
"injury","necessarily",NA,NA
"insane","negotiate",NA,NA
"insecure","nice",NA,NA
"insecurity","nice",NA,NA
"insensible","nice",NA,NA
"insidious","nice",NA,NA
"insignificant","niche",NA,NA
"insinuate","nimble",NA,NA
"insolence","nobility",NA,NA
"insolent","noble",NA,NA
"instability","nobleman",NA,NA
"instable","noiseless",NA,NA
"insufficiency","nominate",NA,NA
"insufficient","non-violence",NA,NA
"insult","non-violent",NA,NA
"interfere","normal",NA,NA
"interference","notable",NA,NA
"interrupt","notoriety",NA,NA
"interruption","nourish",NA,NA
"intervention","nourishment",NA,NA
"intimidate","novelty",NA,NA
"intolerable","nurse",NA,NA
"intoxicate","nurture",NA,NA
"intrude","nutrient",NA,NA
"intruder","oasis",NA,NA
"intrusion","obedience",NA,NA
"inundate","obedient",NA,NA
"inundated","obey",NA,NA
"invade","objective",NA,NA
"invalid","objective",NA,NA
"invisible","oblige",NA,NA
"involuntary","obtain",NA,NA
"involve","obtainable",NA,NA
"irk","offer",NA,NA
"iron","offer",NA,NA
"iron","offer",NA,NA
"ironic","offset",NA,NA
"irony","onset",NA,NA
"irrational","onward",NA,NA
"irregular","open",NA,NA
"irregularity","open",NA,NA
"irresponsible","opportune",NA,NA
"irritable","opportunity",NA,NA
"irritation","optimal",NA,NA
"isolate","optimism",NA,NA
"isolate","optimistic",NA,NA
"jail","optional",NA,NA
"jail","order",NA,NA
"jar","order",NA,NA
"jeer","order",NA,NA
"jeopardize","organize",NA,NA
"jeopardy","organize",NA,NA
"jerk","originality",NA,NA
"jerk","outgoing",NA,NA
"jittery","outlive",NA,NA
"jobless","outright",NA,NA
"jumpy","outrun",NA,NA
"junk","outset",NA,NA
"kick","outstanding",NA,NA
"kick","outwit",NA,NA
"kick","overcome",NA,NA
"kidnap","overjoyed",NA,NA
"kill","painstaking",NA,NA
"kill","palatable",NA,NA
"killer","palatial",NA,NA
"knife","pamper",NA,NA
"knock","paradise",NA,NA
"knock","paramount",NA,NA
"knock","pardon",NA,NA
"lack","pardon",NA,NA
"lack","particular",NA,NA
"lack","partner",NA,NA
"lag","partnership",NA,NA
"laid","pass",NA,NA
"lame","passionate",NA,NA
"lament","patience",NA,NA
"lamentable","patient",NA,NA
"languish","patient",NA,NA
"lapse","patriot",NA,NA
"laugh","patriotic",NA,NA
"lawless","patron",NA,NA
"lay","patronage",NA,NA
"lazily","pay",NA,NA
"lazy","peace",NA,NA
"leak","peace",NA,NA
"leakage","peaceable",NA,NA
"let","peaceful",NA,NA
"liability","peerless",NA,NA
"liable","perfect",NA,NA
"liar","perfect",NA,NA
"lie","perfect",NA,NA
"lie","perfection",NA,NA
"lifeless","perfectionism",NA,NA
"limit","perfectionist",NA,NA
"limit","perfume",NA,NA
"limit","permission",NA,NA
"limitation","permit",NA,NA
"limp","perseverance",NA,NA
"liquidate","persevere",NA,NA
"liquidation","persuasive",NA,NA
"litter","pertinent",NA,NA
"load","picturesque",NA,NA
"lone","piety",NA,NA
"loneliness","pinnacle",NA,NA
"lonely","pious",NA,NA
"loner","plain",NA,NA
"lonesome","plain",NA,NA
"loom","plain",NA,NA
"lose","plain",NA,NA
"lose","plausibility",NA,NA
"loser","playful",NA,NA
"loss","playmate",NA,NA
"lost","plaything",NA,NA
"lost","pleasant",NA,NA
"lost","pleasant",NA,NA
"lost","pleasantry",NA,NA
"loveless","please",NA,NA
"low","please",NA,NA
"low","pleased",NA,NA
"lower","pleased",NA,NA
"lowly","pleasurable",NA,NA
"ludicrous","pleasure",NA,NA
"lull","pledge",NA,NA
"lunatic","plentiful",NA,NA
"lure","plenty",NA,NA
"lurk","poetic",NA,NA
"lying","poignant",NA,NA
"lying","poise",NA,NA
"mad","polish",NA,NA
"mad","polite",NA,NA
"madman","politeness",NA,NA
"madness","pomp",NA,NA
"make","popular",NA,NA
"maladjusted","popularity",NA,NA
"maladjustment","populous",NA,NA
"malady","portable",NA,NA
"malice","positive",NA,NA
"malicious","positiveness",NA,NA
"malignant","positivity",NA,NA
"mangle","posterity",NA,NA
"manipulate","potency",NA,NA
"manipulation","potent",NA,NA
"manslaughter","practicable",NA,NA
"mar","practical",NA,NA
"mar","praise",NA,NA
"marginal","praise",NA,NA
"massacre","prance",NA,NA
"matter","precaution",NA,NA
"meager","precedent",NA,NA
"mean","precept",NA,NA
"meaningless","precious",NA,NA
"meddle","precise",NA,NA
"mediocre","precision",NA,NA
"meek","preeminent",NA,NA
"melancholy","preference",NA,NA
"melodramatic","premier",NA,NA
"menace","premise",NA,NA
"menial","premium",NA,NA
"merciless","preparatory",NA,NA
"mess","prestige",NA,NA
"mess","prettily",NA,NA
"mind","pretty",NA,NA
"mine","pretty",NA,NA
"misbehave","pretty",NA,NA
"misbehavior","pretty",NA,NA
"mischief","priceless",NA,NA
"mischievous","pride",NA,NA
"miser","primarily",NA,NA
"miserable","prime",NA,NA
"misery","principal",NA,NA
"misfortune","principle",NA,NA
"mishandle","principle",NA,NA
"mishap","principle",NA,NA
"misinform","privacy",NA,NA
"misinformed","privileged",NA,NA
"mislead","privy",NA,NA
"misrepresent","prize",NA,NA
"miss","pro",NA,NA
"mistake","proactive",NA,NA
"mistake","prodigious",NA,NA
"mistake","prodigy",NA,NA
"mistaken","productive",NA,NA
"mistrust","productivity",NA,NA
"misunderstand","profess",NA,NA
"misunderstanding","proffer",NA,NA
"misunderstood","proficient",NA,NA
"misuse","profit",NA,NA
"mix","profit",NA,NA
"moan","profitable",NA,NA
"mock","profound",NA,NA
"mockery","progress",NA,NA
"molest","progress",NA,NA
"monotonous","progressive",NA,NA
"monotony","prolific",NA,NA
"monster","prominence",NA,NA
"monstrous","prominent",NA,NA
"moody","promise",NA,NA
"mortify","promise",NA,NA
"motionless","prompt",NA,NA
"motley","prompt",NA,NA
"mourn","promptly",NA,NA
"mourn","proper",NA,NA
"mourner","propitious",NA,NA
"muddle","proprietary",NA,NA
"muddy","propriety",NA,NA
"mumble","prosecute",NA,NA
"mundane","prosper",NA,NA
"murder","prosperity",NA,NA
"murder","prosperous",NA,NA
"murderous","protect",NA,NA
"murky","protection",NA,NA
"mutter","protective",NA,NA
"myself>","protector",NA,NA
"nag","proud",NA,NA
"naive","provide",NA,NA
"nasty","providence",NA,NA
"naughty","prowess",NA,NA
"nebulous","prudence",NA,NA
"need","prudent",NA,NA
"need","punctual",NA,NA
"need","pure",NA,NA
"needle","purification",NA,NA
"needy","purify",NA,NA
"negate","purity",NA,NA
"negation","purposeful",NA,NA
"negative","purr",NA,NA
"neglect","quaint",NA,NA
"neglect","qualify",NA,NA
"negligence","qualify",NA,NA
"negligent","quality",NA,NA
"nervous","quench",NA,NA
"nervousness","quicken",NA,NA
"neurotic","radiance",NA,NA
"neutralize","radiant",NA,NA
"nightmare","radiate",NA,NA
"nix","rally",NA,NA
"noise","rapport",NA,NA
"nonchalant","rapt",NA,NA
"nonsense","rapture",NA,NA
"nosey","rational",NA,NA
"notorious","rave",NA,NA
"novice","readily",NA,NA
"nuisance","real",NA,NA
"nullification","realistic",NA,NA
"nullify","realistically",NA,NA
"numb","reap",NA,NA
"nuts","reasonable",NA,NA
"object","reassurance",NA,NA
"objection","reassure",NA,NA
"oblique","receptive",NA,NA
"obliterate","reclaim",NA,NA
"obnoxious","recline",NA,NA
"obscure","recompense",NA,NA
"obsolete","reconcile",NA,NA
"obstacle","reconciliation",NA,NA
"obstinate","recreation",NA,NA
"obstruct","redeem",NA,NA
"obstruction","redemption",NA,NA
"odd","reestablish",NA,NA
"oddity","refine",NA,NA
"offend","refinement",NA,NA
"offender","refuge",NA,NA
"offensive","regal",NA,NA
"ominous","regard",NA,NA
"omission","rehabilitation",NA,NA
"omit","reinforcement",NA,NA
"opinionated","reinstate",NA,NA
"opponent","rejoice",NA,NA
"oppose","relaxation",NA,NA
"oppose","relevance",NA,NA
"oppose","relevancy",NA,NA
"opposition","relevant",NA,NA
"oppress","reliability",NA,NA
"oppression","reliable",NA,NA
"oppressive","relief",NA,NA
"ordeal","relieve",NA,NA
"order","religious",NA,NA
"orphan","relish",NA,NA
"ostracize","remarkable",NA,NA
"oust","remarkably",NA,NA
"outbreak","remedy",NA,NA
"outburst","remodel",NA,NA
"outcast","renaissance",NA,NA
"outcry","renewal",NA,NA
"outlaw","renovate",NA,NA
"outrage","renovation",NA,NA
"outrageous","renown",NA,NA
"outsider","repair",NA,NA
"overbearing","repair",NA,NA
"overflow","reparation",NA,NA
"overlook","repent",NA,NA
"overpower","repentance",NA,NA
"overrun","repose",NA,NA
"oversight","reputable",NA,NA
"overthrow","rescue",NA,NA
"overturn","rescue",NA,NA
"overwhelming","resolute",NA,NA
"overworked","resolve",NA,NA
"owe","resolve",NA,NA
"pain","resolved",NA,NA
"painful","resound",NA,NA
"paltry","resourceful",NA,NA
"pandemonium","resourcefulness",NA,NA
"panic","respect",NA,NA
"paralysis","respect",NA,NA
"paralyzed","respect",NA,NA
"paranoid","respectable",NA,NA
"parasite","respectful",NA,NA
"particular","respite",NA,NA
"partition","resplendent",NA,NA
"pass","responsibility",NA,NA
"pass#_10","responsible",NA,NA
"pass#_13","responsive",NA,NA
"passe","restful",NA,NA
"pathetic","restoration",NA,NA
"patronize","restore",NA,NA
"peculiar","resurrect",NA,NA
"peril","return",NA,NA
"perilous","return",NA,NA
"perish","reunion",NA,NA
"perplex","reunite",NA,NA
"perplexity","revel",NA,NA
"persecute","revelation",NA,NA
"persecution","revere",NA,NA
"perturb","reverence",NA,NA
"perverse","reverent",NA,NA
"pervert","reverently",NA,NA
"pessimism","revitalize",NA,NA
"pessimistic","revival",NA,NA
"pest","revive",NA,NA
"petty","reward",NA,NA
"phobia","reward",NA,NA
"pick","reward",NA,NA
"piece","rich",NA,NA
"pinch","rich",NA,NA
"pinch","rich",NA,NA
"pitiful","rich",NA,NA
"pitiless","rich",NA,NA
"plague","rich",NA,NA
"plague","riches",NA,NA
"plaintiff","richness",NA,NA
"plight","right",NA,NA
"plod","right",NA,NA
"plot","righteous",NA,NA
"point","righteousness",NA,NA
"pointless","rightful",NA,NA
"poison","ripe",NA,NA
"poisonous","ripen",NA,NA
"pollute","robust",NA,NA
"pollution","romance",NA,NA
"pompous","romantic",NA,NA
"poor","romanticize",NA,NA
"poor","rosy",NA,NA
"poor","round",NA,NA
"poor","rouse",NA,NA
"poor","sacred",NA,NA
"poor","safe",NA,NA
"pound","safe",NA,NA
"pout","safe",NA,NA
"poverty","safe",NA,NA
"powerless","safeguard",NA,NA
"precarious","safety",NA,NA
"precipitate","sagacity",NA,NA
"predicament","sage",NA,NA
"prejudice","saint",NA,NA
"prejudicial","salutary",NA,NA
"preposterous","salutation",NA,NA
"press","salute",NA,NA
"presumptuous","salvation",NA,NA
"pretend","sanctify",NA,NA
"pretense","sanctuary",NA,NA
"pretentious","sane",NA,NA
"prison","sanguine",NA,NA
"prison","sanitary",NA,NA
"prisoner","sanity",NA,NA
"problem","satisfaction",NA,NA
"procrastinate","satisfactorily",NA,NA
"procrastination","satisfactory",NA,NA
"prod","satisfy",NA,NA
"prohibit","satisfy",NA,NA
"prohibition","satisfy",NA,NA
"prohibitive","save",NA,NA
"propaganda","savings",NA,NA
"prosecution","savor",NA,NA
"protest","savvy",NA,NA
"protest","scamper",NA,NA
"provocation","scruples",NA,NA
"provoke","scrupulous",NA,NA
"prowl","secure",NA,NA
"pry","secure",NA,NA
"punch","security",NA,NA
"punish","security",NA,NA
"puny","selective",NA,NA
"push","self-contained",NA,NA
"push","self-respect",NA,NA
"push","semblance",NA,NA
"puzzlement","sensational",NA,NA
"qualm","sense",NA,NA
"quandary","sense",NA,NA
"quarrel","sensible",NA,NA
"quarrel","sensitive",NA,NA
"quarrelsome","sensitivity",NA,NA
"queer","serene",NA,NA
"questionable","serious",NA,NA
"quibble","seriousness",NA,NA
"quit","settle",NA,NA
"quitter","share",NA,NA
"race","share",NA,NA
"radical","share",NA,NA
"rage","shelter",NA,NA
"raid","shelter",NA,NA
"raise","shield",NA,NA
"ramble","shiny",NA,NA
"rampant","shrewd",NA,NA
"rascal","shrewdness",NA,NA
"rash","significance",NA,NA
"rat","significant",NA,NA
"ration","signify",NA,NA
"rattle","simplicity",NA,NA
"ravage","simplify",NA,NA
"reactionary","simplify",NA,NA
"reactive","sincere",NA,NA
"rebel","sincerity",NA,NA
"rebel","skill",NA,NA
"rebellion","skill",NA,NA
"rebellious","skillful",NA,NA
"rebuff","sleek",NA,NA
"rebuke","smart",NA,NA
"rebut","smart",NA,NA
"recalcitrant","smart",NA,NA
"recede","smile",NA,NA
"recession","smile",NA,NA
"reckless","smile",NA,NA
"recklessness","smile",NA,NA
"recoil","smitten",NA,NA
"redundancy","sober",NA,NA
"redundant","sociable",NA,NA
"refrain","softness",NA,NA
"refugee","solace",NA,NA
"refusal","solution",NA,NA
"refuse","soothe",NA,NA
"regardless","sophisticated",NA,NA
"regress","sought",NA,NA
"regression","sound",NA,NA
"regret","sound",NA,NA
"regret","soundness",NA,NA
"regrettable","spare",NA,NA
"reject","sparkle",NA,NA
"rejection","special",NA,NA
"relapse","spectacular",NA,NA
"reluctant","speedily",NA,NA
"remorse","splendid",NA,NA
"renounce","splendor",NA,NA
"renunciation","spotless",NA,NA
"repeal","sprightly",NA,NA
"reprehensible","squarely",NA,NA
"repress","stability",NA,NA
"reproach","stabilize",NA,NA
"repudiate","stable",NA,NA
"repugnant","stand",NA,NA
"repulse","standardize",NA,NA
"repulsive","staple",NA,NA
"resent","stately",NA,NA
"resentful","statuesque",NA,NA
"resentment","staunch",NA,NA
"resignation","staunchness",NA,NA
"restless","steadfast",NA,NA
"restlessness","steadfastness",NA,NA
"restrict","steadiness",NA,NA
"restrict","steady",NA,NA
"restrict","stimulate",NA,NA
"restriction","stimulation",NA,NA
"retaliate","stood",NA,NA
"retard","straight",NA,NA
"retire","straightforward",NA,NA
"retreat","strut",NA,NA
"retreat","stud",NA,NA
"revenge","studious",NA,NA
"revert","stupendous",NA,NA
"revoke","sturdy",NA,NA
"revolt","stylish",NA,NA
"revolution","suave",NA,NA
"rid","sublime",NA,NA
"ride","subscribe",NA,NA
"ridicule","subscription",NA,NA
"ridicule","subsidize",NA,NA
"ridiculous","subsidy",NA,NA
"rigid","subsist",NA,NA
"rigor","subsistence",NA,NA
"rigorous","substantiate",NA,NA
"rip","subtle",NA,NA
"rip","succeed",NA,NA
"risky","success",NA,NA
"rival","successful",NA,NA
"rival","suffice",NA,NA
"rivalry","sufficient",NA,NA
"robber","suit",NA,NA
"robbery","suit",NA,NA
"rogue","suitable",NA,NA
"root","summit",NA,NA
"rot","sumptuous",NA,NA
"rotten","super",NA,NA
"rough","superior",NA,NA
"roughness","superiority",NA,NA
"roundabout","superlative",NA,NA
"rubbish","support",NA,NA
"rude","support",NA,NA
"rue","support",NA,NA
"ruffian","support",NA,NA
"ruin","supportive",NA,NA
"ruin","supreme",NA,NA
"ruin","supreme",NA,NA
"ruin","surge",NA,NA
"ruinous","surmise",NA,NA
"rumor","surmount",NA,NA
"rumple","surpass",NA,NA
"run","survival",NA,NA
"run","survive",NA,NA
"runaway","survivor",NA,NA
"rupture","sweet",NA,NA
"rupture","sweet",NA,NA
"rusty","sweet",NA,NA
"ruthless","sweet",NA,NA
"ruthlessness","sweeten",NA,NA
"sabotage","sweetheart",NA,NA
"sad","sweetness",NA,NA
"sadness","swiftness",NA,NA
"sag","swoon",NA,NA
"sank","sworn",NA,NA
"sap","symbolize",NA,NA
"sarcasm","symmetry",NA,NA
"sarcastic","sympathetic",NA,NA
"savage","sympathize",NA,NA
"scald","sympathy",NA,NA
"scandal","synthesis",NA,NA
"scandalous","tact",NA,NA
"scapegoat","tactics",NA,NA
"scar","talent",NA,NA
"scarcity","talented",NA,NA
"scare","taste",NA,NA
"scare","temperance",NA,NA
"scared","temperate",NA,NA
"scared","tempt",NA,NA
"scary","tenacious",NA,NA
"scheme","tenacity",NA,NA
"scheme","tenderness",NA,NA
"scoff","terrific",NA,NA
"scold","thank",NA,NA
"scold","thank",NA,NA
"scorch","thank",NA,NA
"scorn","thankful",NA,NA
"scornful","therapeutic",NA,NA
"scoundrel","thorough",NA,NA
"scowl","thoughtful",NA,NA
"scrape","thoughtfulness",NA,NA
"scream","thrift",NA,NA
"scream","thrifty",NA,NA
"screech","thrill",NA,NA
"screech","thrive",NA,NA
"screw","tingle",NA,NA
"scrutinize","togetherness",NA,NA
"scuffle","tolerance",NA,NA
"scum","tolerant",NA,NA
"secede","tolerate",NA,NA
"secession","toleration",NA,NA
"secrecy","topmost",NA,NA
"secret","tradition",NA,NA
"sedentary","traditional",NA,NA
"seethe","train",NA,NA
"segregation","tranquil",NA,NA
"seize","tranquility",NA,NA
"selfish","travel",NA,NA
"selfishness","treasure",NA,NA
"senile","treasure",NA,NA
"senseless","treat",NA,NA
"sentence","treatise",NA,NA
"sequester","treaty",NA,NA
"serve","tremendous",NA,NA
"service","tremendous",NA,NA
"servitude","tribute",NA,NA
"sever","triumph",NA,NA
"severe","triumph",NA,NA
"severity","triumphal",NA,NA
"shabby","triumphant",NA,NA
"shadow","trophy",NA,NA
"shady","true",NA,NA
"shaggy","true",NA,NA
"shake","true",NA,NA
"shallow","true",NA,NA
"shame","true",NA,NA
"shameful","trust",NA,NA
"shameless","trust",NA,NA
"shark","trust",NA,NA
"shell","trust",NA,NA
"shell","trust",NA,NA
"shipwreck","trust",NA,NA
"shirk","trustworthiness",NA,NA
"shiver","trustworthy",NA,NA
"shock","truth",NA,NA
"shock","truthful",NA,NA
"shock","unbound",NA,NA
"shock","unbroken",NA,NA
"shock","uncommon",NA,NA
"shoddy","understand",NA,NA
"shoot","understand",NA,NA
"shoot","understandable",NA,NA
"shoot","understood",NA,NA
"short","undoubted",NA,NA
"shortage","undoubtedly",NA,NA
"shortcoming","unforgettable",NA,NA
"shortsighted","unhurried",NA,NA
"shot","unimpeachable",NA,NA
"shove","unique",NA,NA
"show","unity",NA,NA
"shred","unlimited",NA,NA
"shrew","unselfish",NA,NA
"shriek","untouched",NA,NA
"shrill","upbeat",NA,NA
"shrivel","upfront",NA,NA
"shroud","upgrade",NA,NA
"shrug","upheld",NA,NA
"shrug","uphold",NA,NA
"shun","uplift",NA,NA
"shyness","uppermost",NA,NA
"sick","upright",NA,NA
"sick","upside",NA,NA
"sick","upward",NA,NA
"sick","usable",NA,NA
"sickly","useful",NA,NA
"sickness","usefulness",NA,NA
"siege","utilitarian",NA,NA
"silly","utilization",NA,NA
"simplistic","utilize",NA,NA
"sin","uttermost",NA,NA
